name,manual_gpu
"ThinkBook 14 2in1 G4 IML Ultra 7-155U 16GB 512 GB 14"" Win11Home + S.Çantası 21MX002VTRHMF56",mx002
"Nirvana S200 300NIT i5-13420H 16GB DDR5 480GB SSD 16"" Freedos Laptop S200.1342-BV00X-G-F",None
"TUF F16 i7-14650HX 32GB 4 TBSSD RTX5070 (8GB) 16"" 2.5K Freedos + Sırt Ç. FX608JPR-QT002HMF13",rtx 5070
Legion 7 16IRX9 I7 14700HX 96GB Ddr5 4tb SSD FDOS RTX4070 8gb 16 Inç 3.2k 83FD005KTRF46+Zetta Çanta,rtx 4070
Pro 16 Ultra 5 235U 32GB Ddr5 4tb SSD W11PRO 16 Inç IPS Fullhd+ PC16250BTO105P15 + Zetta Çanta,None
"Pro 16 Plus Ultra 7-265U 16GB 2TB UHD Graphics 16"" Freedos + S.Çantası PB16250U7265U165UHMF3",intel uhd graphics
"15 FC0059NT AMD Ryzen 7 7730U 32GB 256GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 8M1T1EAS3",None
"Crosshair A17 HX R7 8840HX 32GB 512GB SSD RTX5070/8GB 115W 17"" QHD+ 240Hz W11H Gaming D8WGKG",rtx 5070
"Predator Helios Neo16 Ultra9 275HX 80GB 4TB+4TB SSD RTX5070Ti/12GB 16"" QHD+ FDOS Gaming Laptop",rtx 5070ti
"15.6"" V15 83A100A5TR CORE i5 13420H 24GB- 512GB M2 NVME- O/B UHD FDOS",intel uhd graphics
"Predator Helios Neo16 Ultra9 275HX 64GB 4TB+4TB SSD RTX5070Ti/12GB 16"" QHD+ W11P Gaming Laptop",rtx 5070ti
"Omen16 Ryzen AI 7-350 8GB 4TB SSD RTX5060/8GB 16"" FHD+ 144Hz W11H Gaming Laptop &Per4 Çanta",rtx 5060
Alienware 16AC16250 7 240H 16GB 8tbSSD W11PRO 8gb RTX5060 16Inç 2K AC16250C71615U56NP07+Zetta Çanta,rtx 5060
"Predator Helios Neo18 Ultra9 275HX 80GB 4TB SSD RTX5070Ti/12GB 18"" QHD+ W11P Gaming Laptop",rtx 5070ti
"Omen 17 Ryzen AI 7 350 32GB 1TB SSD RTX5060/8GB 17.3"" FHD 144Hz W11P Gaming Laptop & Çanta",rtx 5060
"Thinkbook 16 G7 Ryzen 5 7535HS 24GB Ddr5 2tb SSD 16"" Wuxga IPS W11PRO 21MW000PTRH07 + Zettaçanta",None
Pro 15 Essential i5-1334U 32GB 4TB SSD 15.6'' FHD FDOS Taşınabilir Bilgisayar & Per4 ÇANTA,None
"Nirvana X750 i3-1315U 8GB DDR5 1TB SSD Freedos 15.6"" Laptop X750.1315-8F00X-G-F",None
"Alienware 16X Aurora Ultra 7 255HX 64GB 256GB SSD RTX5060/8GB 16"" QHD+ W11H Gaming Laptop",rtx 5060
"Loq I7-13700HX 48GB Ddr5 4tb SSD 8GB/RTX5060 15.6"" IPS W11PRO 83JE00LFTRP15+ZETTAÇANTA",rtx 5060
"Omen 16 7 240H 80GB 512GB SSD 8GB/RTX5070 16"" 165Hz FDOS BHPQ1Y7EAF21+Zettaçanta",rtx 5070
"Katana 17 İ9-14900HX 64GB 256GB SSD 8GB/RTX5070 115W 17.3"" Qhd 240Hz IPS Freedos W048XTRF16",rtx 5070
"Thinkbook 14 G6 Irl 21KG00Y5TREP1 i5-1335U 16GB RAM 512GB SSD WUXGA 14"" Win11P + ElektroPasaj Çanta",None
Latitude 3450 i7 1355U 40GB DDR5 256GB SSD 14'' IPS W11H Taşınabilir Bilgisayar & PER4 ÇANTA,None
"NevoPro 14"" 300NIT Core Ultra 7-255H 16GB DDR5 480GB Freedos NP40.255H-BV00X-G-F",None
IdeaPad Slim 3 i5 13420H 16GB DDR5 256GB SSD 15.3'' IPS WUXGA FDOS Dizüstü & PER4 ÇANTA,None
"TUF Gaming A15 R5 7535HS 8GB 256GB SSD RTX3050/4GB 144Hz 15.6"" FHD FDOS HN049 & PER4 ÇANTA",rtx 3050
"Thinkbook 16 G6 Irl I5 13420H 96GB 1tb SSD 16"" Wuxga 300NITS IPS WIN11HOME 21KH00SXTRH32 +ZETTACNT",None
"Precision 3591 Ultra 7 155H 80GB 256GB SSD RTX A500/4GB 15.6"" FHD FDOS Workstation & Per4 Çanta",rtx a500
"Nitro 5 I7-12650H 24GB 256GB SSD 8GB/RTX4060 140W IPS 17.3"" 144Hz Full Hd WIN11PRO NHQLFEY004P01",rtx 4060
"ProBook 440 G11 Ultra5 125U 48 GB 256 GB SSD 14"" Freedos A23MQEA-T61",None
Thinkbook 16 G8 Ial Ultra 5 225U 48GB Ddr5 2tb SSD W11PRO 16 Inç IPS 21SK007VTXP32 + Zetta Çanta,None
"Alienware 16X Aurora AC16251A002 Ultra7 255HX 16GB 1TBSSD+1TBSSD RTX5060 16"" WQXGA W11H Dizüstü",rtx 5060
"E16 G3 U7-255H 16GB 1 TBSSD Intel Arc Graphics 16"" Freedos +S. Çantası 21SR006RTXHMF1",intel arc graphics
OMEN Max 16 Ultra 7 255HX 8GB 256GB SSD RTX5080/16GB 16'' 240Hz WQXGA W11P Gaming Laptop & ÇANTA,rtx 5080
Loq 17IRX10 I7 13650HX 16GB 2tbSSD RTX5060 8gb W11HOME 17.3 Inç Fhd 165HZ W83JH006ETRH03+Zetta Çanta,rtx 5060
Latitude 5550 Ultra 7 155U 40GB DDR5 1TB SSD 15.6'' FHD W11P Dizüstü Bilgisayar & PER4 ÇANTA,None
"Ideapad Slim 3 Intel Core I5 13420H 24GB RAM DDR5 512GB SSD Freedos 16"" inç IPS Panel Bilgisayar ",None
"Loq 15IRX10 I7 13700HX 40GB Ddr5 1tb SSD RTX5050 8gb FDOS 15.6"" IPS W83JE00KKTRF20 + Zetta Çanta",rtx 5050
"Alienware 16X Aurora Ultra 7 255HX 80GB 2TB SSD RTX5060/8GB 16"" QHD+ W11H Gaming Laptop",rtx 5060
"Nitro V15 ANV15-52-91EQ I9 13900H 8gb 2tbSSD RTX5060 8gb W11PRO 15,6"" NHQZAEYP04+Zetta Çanta",rtx 5060
"250 G10 B2PH7ES008 i5-1334U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar",None
Extensa 15 EX215-55 i7-1255U 16GB RAM 2TB SSD 15.6'' FHD W11H Dizüstü Bilgisayar & PER4 ÇANTA,None
"Rog Strix G16 I7 14650HX 32GB 2tb Ssd+2tb SSD 8GB/RTX5060 115W 16"" 2,5k 240Hz 3ms W11HOME WS5049H14",rtx 5060
"Nitro V 15 ANV15-41 NH.QPFEY.002 R5-7535HS 16GB 512GB SSD RTX3050 15.6"" 165Hz W11H",rtx 3050
"250 G10 i5-1334U 16GB 1TB SSD 15.6"" FHD W11P Taşınabilir Bilgisayar B2NC5ES 013",None
Latitude 3550 i7 1355U 64GB 4TB SSD MX570A/2GB 15.6'' FDOS Dizüstü Bilgisayar & PER4 ÇANTA,mx570a
Legion 7 16IRX9 I7 14700HX 32GB 512GB SSD W11PRO RTX4070 8gb 16Inç 3.2k 83FD005KTRP13+Zetta Çanta,rtx 4070
"Crosshaır 18 Ultra 9-275HX 24GB 512GB SSD 8GB/RTX5070 115W 18""2.5k 240Hz Freedos W032XTRF01",rtx 5070
"Alienware 16X U7-255HX 32GB 2tb SSD 8GB/RTX5060 115W 16"" Wqxga 240Hz 500 Nits WIN11PRO ZAC16251P13",rtx 5060
"Rog Strix G16 I7 14650HX 32GB 2tb SSD 8GB/RTX5060 115W 16"" 2,5k 240Hz 3ms WIN11HOME WS5049H13",rtx 5060
"Excalibur G880 i7-13620H 32GB 4TB RTX5060 8GB 165Hz 15.6"" Freedos Gaming Laptop G880.1362-DN60X-C",rtx 5060
"Excalibur G880 i7-13620H 64GB 1TB RTX5060 8GB 165Hz 15.6"" Freedos Gaming Laptop G880.1362-EF60X-C",rtx 5060
"Loq 15IRX10 I7-13700HX 64GB 512GBSSD 15.6"" 8GB/RTX5050 144Hz FDOS 83JE00KMTRF17+ZETTAÇANTA",rtx 5050
"Rog Strix G16 Ultra 9 275HX 16GB 1TB SSD RTX5070/8GB 240Hz 16"" QHD+ W11H Gaming Laptop G615LP",rtx 5070
"Cyborg 15 i7-13620H 16GB 4 TBSSD RTX4050 15.6"" FHD 144Hz Win10 Pro + Sırt Ç. A13VE-897XTRHMF67",rtx 4050
"Aspire Go 15 I7-13620H 16GB 1tb SSD FDOS 15,6"" Fhd (1920 x 1080) IPS NXJ6SEY001F03+Zetta Çanta",None
"Victus i5-14450HX 16-GBDDR5 1 TBSSD RTX4050 16.1"" FHD 144Hz Win10 Pro +S. Çantası BL6W5EAHMF46",rtx 4050
