name,manual_cpu
"Cyborg 15 i5 13420H 48GB 4 TBSSD RTX4050 (6GB 45W) 15.6"" FHD Win11 Home A13VE 1478XTRHMF65",i5 13420H
"E16 G3 U7 255H 48 GB 2 TBSSD Intel Arc Graphics 16"" Freedos +S. Çantası 21SR006RTXHMF9",U7 255H
"Predator Helios Neo18 Ultra9 275HX 64GB 256GB SSD RTX5070Ti/12GB 18"" QHD+ FDOS Gaming Laptop",Ultra9 275HX
"Omen 16 Core 7 240H 16GB 512GB SSD RTX5060/8GB 16"" FHD+ 165Hz W11H Gaming Laptop & Per4 Çanta",Core 7 240H
"Macbook Air M2 Çip 16 Gb 256 Gb Ssd 13.6"" Yıldız Işığı Notebook Z15y00102",M2
"KATANA 17 HX i7 14650HX 48GB 2 TBSSD RTX5070 17.3"" 2K Freedos + Sırt Ç. B14WGK 046XTRHMF9",i7 14650HX
Pro 16 PC16250 Core 7 150U 16GB 512GB SSD 16 FHD+ Ubuntu PC16250 C7165UBU,Core 7 150U
"Predator Helios Neo16 Ultra9 275HX 48GB 4TB SSD RTX5070Ti/12GB 16"" QHD+ FDOS Gaming Laptop",Ultra9 275HX
"Precision M7780 XCTOP7780EMEA_VP1A7 i7 13850HX 64GB 2TBSSD RTX3500 17.3"" FullHD W11P Taşınabili",i7 13850HX
"Excalibur G870 Intel 5 210H 64GB 4TB RTX5060 165HZ 15.6"" W11H Gaming Laptop G870.210H EN60A C",
"TUF F16 i7 14650HX 48GB 2 TBSSD RTX5070 (8GB) 16"" 2.5K Win11 Home + Sırt Ç. FX608JPR QT002HMF40",i7 14650HX
"Vostro 3530 Intel Core i5 1334U 36GB 2TB SSD 15.6"" FHD W11P & PER4 Çanta",Intel Core i5 1334U
"Thinkpad E16 Gen3 Ryzen 5 220 32GB 4tb SSD 16"" Wuxga IPS W11PRO 21ST0058TXP12 + Zettaçanta",Ryzen 5
"Katana 15 i7 14650HX 128GB 1TB SSD RTX5060/8GB 115W 15.6"" QHD 165Hz W11H Gaming Laptop B14WFK",i7 14650HX
"Omen 16 WF1020NT 9J1Y9EA03 i7 14700HX 32GB 1TBSSD+2TBSSD RTX4070 16.1"" FHD FreeDOS Dizüstü Bilgis",i7 14700HX
"Predator Helios Neo 16 AI Ultra 9 275HX 128GB 2TB SSD RTX5070Ti/12GB 170W 16"" QHD+ W11P",Ultra 9 275HX
"KATANA 17 i7 14650HX 32GB 2 TBSSD RTX5060 (8GB) 17.3"" Win10 Pro + Sırt Ç. B14WFK 215XTRHMF52",i7 14650HX
"Vostro 3530 i7 1355U 8GB 1TB SSD 15.6"" 120 Hz FHD Win11P N1601PVNB3530U ATL85 Notebook +Çanta",i7 1355U
"Inspiron 3520 i7 1255U 24GB 2TB M.2 SSD I35201013U ATL73 O/B 15.6"" Fdos Taşınabilir Bilgisayar+",i7 1255U
Pro 16 PC16250 Ultra 5 235U 32GB 1TB SSD 16 FHD+ FreeDOS BTO106 PC16250 UBU,Ultra 5 235U
ROG Strix G16 R9 9955HX 64GB 4TB SSD RTX5070Ti/12GB 140W 240HZ 16'' 2.5K FDOS Gaming & PER4,R9 9955HX
Crosshaır 16 U9 275HX 64GB 1tb Ssd+1tbssd 8GB/RTX5070 115W 16″ 16:10 QHD+ 240Hz IPS FDOS W047XTRF28,U9 275HX
Victus 15 Intel Core 7 240H 48GB 512GB SSD RTX5060/8GB 15.6'' 144Hz FHD W11P Gaming Laptop,Intel Core 7 240H
"Predator Helios Neo 16 AI Ultra 9 275HX 128GB 4TB SSD RTX5070Ti/12GB 170W 16"" QHD+ W11P",Ultra 9 275HX
"Alienware 16X Aurora Ultra 7 255HX 40GB 4TB SSD RTX5060/8GB 16"" QHD+ W11P Gaming Laptop",Ultra 7 255HX
Katana 17 HX i9 14900HX 32GB 256GB SSD RTX5060/8GB 17.3'' 2K QHD 240Hz W11H Gaming Laptop B14WFK,i9 14900HX
Vivobook 15 X1504VA NJ195W01 Intel Core I7 1355U 8gb Ram 512gb Ssd 15.6'' FHD Windows11,Intel Core I7 1355U
"Victus I7 13620H 32GB 2tbSSD Rtx 5060/8GB 15.6"" , 144 Hz, ,300 Nits WIN11HOME C21SFEAH09+ZETTAÇNT",I7 13620H
"Omen 16 Ryzen AI 7 350 8GB 4TB+4TB SSD RTX5070/8GB 16"" FHD+ 144Hz W11H Gaming Laptop & Çanta",Ryzen AI 7 350
"ThinkBook 16 21MS005KTR002 Ultra5 125U 16GB 512SSD+1TBSSD 16"" WUXGA FreeDOS Dizüstü Bilgisaya",Ultra5 125U
Victus 15 Intel Core 7 240H 64GB 4+4TB SSD RTX5060/8GB 15.6'' 144Hz FHD FDOS Gaming Laptop,Intel Core 7 240H
"Cyborg 15 A13VF3 i7 13620H 24GB 4TB SSD RTX4060/8GB 15.6"" FHD 144HZ FDOS & PER4 ÇANTA",i7 13620H
Omen 16 AM0037NT Ultra 5 225H 40GB 8tb SSD RTX5060 8gb W11HOME 16Inç 144Hz C39JBEAH24+Zetta Çanta,Ultra 5 225H
"Thinkbook 14 G7 Ultra 5 125U 40GB 2tb SSD 14"" Wuxga IPS 300NITS WIN11HOME 21MR0095TRH15+ZETTAÇANTA",Ultra 5 125U
"Alienware 16AC16250 7 240H 96GB 512GBSSD W11PRO 8gb RTX5060 16"" 2K AC16250C71615U56NP51+Zetta Çanta",
"Cyborg 15 i5 13420H 16GB 1TB SSD RTX5060/8GB 15.6"" FHD 144Hz W11H Gaming Laptop B13WFKG",i5 13420H
"Precision 3591 Ultra 7 155H 16GB 1TB SSD RTX A500/4GB 15.6"" FHD FDOS Workstation & Per4 Çanta",Ultra 7 155H
Katana 17 HX i7 14650HX 24GB 1TB SSD RTX5070/8GB 17.3'' 2K QHD 240Hz W11P Gaming Laptop B14WGK,i7 14650HX
"Vector 18 HX AI Ultra 9 275HX 40GB 2TB SSD RTX5070Ti/12GB 140W 18"" QHD+ 240Hz W11H Gaming",Ultra 9 275HX
"Latitude 3540 Intel Core i5 1235U 12GB 1TB SSD 15.6"" FHD W11P & PER4 Çanta",Intel Core i5 1235U
"Thinkbook 14 G8 Ial Ultra 7 255H 40GB Ddr5 4tb SSD 14"" Wuxga IPS FDOS 21SJ007BTXF16 + Zettaçanta",Ultra 7 255H
"ThinkBook 16 G8 Core 7 240H 16GB 1TB SSD 16"" FHD+ FDOS Taşınabilir Bilgisayar & PER4 Çanta",Core 7 240H
"CYBORG 17 i7 13620H 32GB 2TB RTX5060 (8GB) 17.3"" FHD Win 10 Pro + S.Çantası B13WFKG 092XTRHMF41",i7 13620H
"Vivobook 15 X1504ZA BQ325W03 i7 1255U 16GB 1TBSSD 15.6"" FullHD W11H Taşınabilir Bilgisayar",i7 1255U
"Pro 16 XCTOPRO16 U008 Core5 120U 16GB 512SSD 16"" WUXGA W11P Dizüstü Bilgisayar",Core5 120U
"Predator Helios Neo16 Ultra9 275HX 80GB 1TB SSD RTX5060/8GB 16"" QHD+ W11P Gaming Laptop",Ultra9 275HX
"Predator Helios Neo18 Ultra9 275HX 40GB 4TB SSD RTX5070Ti/12GB 18"" QHD+ FDOS Gaming Laptop",Ultra9 275HX
Inspiron 3520 i7 1255U 40GB RAM 4TB SSD 15.6'' FHD W11HOME I35201013U & PER4 ÇANTA,i7 1255U
"Omen16 Ryzen AI 9 365 40GB 256GB SSD RTX5070/8GB 115W 16"" QHD+ 240Hz W11H Gaming Laptop &Çanta",Ryzen AI 9 365
"Probook 440 G10 I7 1355U 32GB 2tb SSD Iris® Xe W11Home 14"" IPS 968L9ETH19 + Zetta Çanta",I7 1355U
Extensa 15 EX215 55 i7 1255U 24GB RAM 1TB SSD 15.6'' FHD W11P Dizüstü Bilgisayar & PER4 ÇANTA,i7 1255U
"ThinkBook 14 G6 i7 13700H 16 GBDDR5 2 TBSSD 14"" WUXGA Freedos 21KG004NTRHMF7",i7 13700H
"Cyborg 15 i7 13620H 32GB 2 TBSSD RTX4050 15.6"" FHD 144Hz Win10 Pro + Sırt Ç. A13VE 897XTRHMF62",i7 13620H
"TUF Gaming A15 R5 7535HS 8GB 512GB SSD RTX3050/4GB 144Hz 15.6"" FHD FDOS HN006 & PER4 ÇANTA",R5 7535HS
NB CROSSHAIR A17 HX D8WGKG 012XTR R9 8940HX 32GB DDR5 RTX5070 GDDR7 8GB 1TB SSD 17.0 QHD+ 240Hz,R9 8940HX
ThinkBook 16 G6 i5 1335U 40GB DDR5 256GB SSD 16'' FHD+ FDOS Dizüstü Bilgisayar & PER4 ÇANTA,i5 1335U
"Crosshair 17 HX AI Ultra 9 275HX 24GB 512GB SSD RTX5070/8GB 115W 17"" 2K QHD+ 240Hz W11H Gaming",Ultra 9 275HX
Vector 16 HX AI Ultra 7 255HX 24GB 2TB SSD RTX5070TI/12GB 140W 16'' WUXGA W11P Gaming Laptop,Ultra 7 255HX
Omen W16 AM0017NT 7 240H 40GB 1tb SSD W11HOME RTX5060 8gb 16 Inc IPS 165HZ WBQ1Z0EAH24+Zetta Çanta,
"Pro 16 XCTOPRO16 U003 Core5 120U 32GB 512SSD 16"" WUXGA FreeDOS Dizüstü Bilgisayar",Core5 120U
"Thinkbook 16 G8 7 240H 32GB Ddr5 2tb SSD 16"" Wuxga IPS 60Hz W11HOME 21SH009GTXH11 + Zettaçanta",r5
Expertbook P1 P1503 I7 13620H 40GB Ddr5 512GB SSD Freedos 15.6 Fhd WP1503CVAI716512G0D22 +ZETTACNT,I7 13620H
"Victus 16 R0071NT 8V898EA FR18 i7 13700H 40 GB 1 TB 8 GB RTX4070 16.1"" FHD DOS",i7 13700H
"Vector 16 Hx Ultra 7 255HX 16GB 4tb SSD 12GB/RTX5070TI/140W WIN11HOME 16"" Fhd+ 144Hz 091XTRH04",Ultra 7 255HX
"Cyborg 15 i5 13420H 40GB 1TB SSD RTX5060/8GB 15.6"" FHD 144Hz W11H Gaming Laptop B13WFKG",i5 13420H
"Pro 16 Xcto Ultra 5 120U 80GB 4tb SSD 16"" Fhd+ 300NIT WIN11HOME XCTOPRO16UI5H24+ZETTAÇANTA",Ultra 5 120U
"Cyborg 15 i7 13620H 8GB 2TB SSD RTX5060/8GB 15.6"" FHD 144Hz FDOS Gaming Laptop B13WFKG",i7 13620H
"Thinkpad E16 G2 Ultra 5 125U 16GB 512GB SSD Intel® Aı Boost 16"" Wuxga IPS WIN 11 Home 21MA003MTXH01",Ultra 5 125U
Pro 14 Ultra 5 235U 32GB Ddr5 1tb SSD W11PRO 14 Inç IPS Fullhd+ PC14250BTO113P13 + Zetta Çanta,Ultra 5 235U
"Katana 15 HX B14WGK 068XTR005 i7 14650HX 64GB 2TBSSD RTX5070 15.6"" QHD FreeDOS Dizüstü Bilgisaya",i7 14650HX
"Slim 3 Intel Core I7 13620H 8GB 1TB SSD W11/16"" Fhd Taşınabilir Bilgisayar +Lenovo Set",Intel Core I7 13620H
"Nitro 5 ANV15 41 R7CH012 Ryzen7 7735HS 64GB 1TBSSD+1TBSSD RTX4060 15.6"" FHD FreeDOS Dizüstü Bil",R7
"Rog Strix Scar 18 U9 275HX 24GB 512GB SSD 16GB/RTX5080 18"" 2.5K 3Ms 1200Nits FDOS WSA129F01+ZETTACNT",U9 275HX
"Omen 17 Ryzen AI 7 350 24GB 4TB SSD RTX5060/8GB 17.3"" FHD 144Hz FDOS Gaming Laptop & Çanta",Ryzen AI 7 350
"KATANA 17 i7 14650HX 32GB 4 TBSSD RTX5060 (8GB) 17.3"" Win11 Pro + Sırt Ç. B14WFK 215XTRHMF27",i7 14650HX
"ThinkBook 14 2in1 G4 IML Ultra 7 155U 16GB 512 GB 14"" Win11Home + S.Çantası 21MX002VTRHMF56",Ultra 7 155U
"Nirvana S200 300NIT i5 13420H 16GB DDR5 480GB SSD 16"" Freedos Laptop S200.1342 BV00X G F",i5 13420H
"TUF F16 i7 14650HX 32GB 4 TBSSD RTX5070 (8GB) 16"" 2.5K Freedos + Sırt Ç. FX608JPR QT002HMF13",i7 14650HX
Legion 7 16IRX9 I7 14700HX 96GB Ddr5 4tb SSD FDOS RTX4070 8gb 16 Inç 3.2k 83FD005KTRF46+Zetta Çanta,I7 14700HX
Pro 16 Ultra 5 235U 32GB Ddr5 4tb SSD W11PRO 16 Inç IPS Fullhd+ PC16250BTO105P15 + Zetta Çanta,Ultra 5 235U
"Pro 16 Plus Ultra 7 265U 16GB 2TB UHD Graphics 16"" Freedos + S.Çantası PB16250U7265U165UHMF3",Ultra 7 265U
"15 FC0059NT AMD Ryzen 7 7730U 32GB 256GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 8M1T1EAS3",AMD Ryzen 7 7730U
"Crosshair A17 HX R7 8840HX 32GB 512GB SSD RTX5070/8GB 115W 17"" QHD+ 240Hz W11H Gaming D8WGKG",R7 8840HX
"Predator Helios Neo16 Ultra9 275HX 80GB 4TB+4TB SSD RTX5070Ti/12GB 16"" QHD+ FDOS Gaming Laptop",Ultra9 275HX
"15.6"" V15 83A100A5TR CORE i5 13420H 24GB  512GB M2 NVME  O/B UHD FDOS",CORE i5 13420H
"Predator Helios Neo16 Ultra9 275HX 64GB 4TB+4TB SSD RTX5070Ti/12GB 16"" QHD+ W11P Gaming Laptop",Ultra9 275HX
"Omen16 Ryzen AI 7 350 8GB 4TB SSD RTX5060/8GB 16"" FHD+ 144Hz W11H Gaming Laptop &Per4 Çanta",Ryzen AI 7 350
Alienware 16AC16250 7 240H 16GB 8tbSSD W11PRO 8gb RTX5060 16Inç 2K AC16250C71615U56NP07+Zetta Çanta,
"Predator Helios Neo18 Ultra9 275HX 80GB 4TB SSD RTX5070Ti/12GB 18"" QHD+ W11P Gaming Laptop",Ultra9 275HX
"Omen 17 Ryzen AI 7 350 32GB 1TB SSD RTX5060/8GB 17.3"" FHD 144Hz W11P Gaming Laptop & Çanta",Ryzen AI 7 350
"Thinkbook 16 G7 Ryzen 5 7535HS 24GB Ddr5 2tb SSD 16"" Wuxga IPS W11PRO 21MW000PTRH07 + Zettaçanta",Ryzen 5 7535HS
Pro 15 Essential i5 1334U 32GB 4TB SSD 15.6'' FHD FDOS Taşınabilir Bilgisayar & Per4 ÇANTA,i5 1334U
"Nirvana X750 i3 1315U 8GB DDR5 1TB SSD Freedos 15.6"" Laptop X750.1315 8F00X G F",i3 1315U
"Alienware 16X Aurora Ultra 7 255HX 64GB 256GB SSD RTX5060/8GB 16"" QHD+ W11H Gaming Laptop",Ultra 7 255HX
"Loq I7 13700HX 48GB Ddr5 4tb SSD 8GB/RTX5060 15.6"" IPS W11PRO 83JE00LFTRP15+ZETTAÇANTA",I7 13700HX
"Omen 16 7 240H 80GB 512GB SSD 8GB/RTX5070 16"" 165Hz FDOS BHPQ1Y7EAF21+Zettaçanta",
"Katana 17 İ9 14900HX 64GB 256GB SSD 8GB/RTX5070 115W 17.3"" Qhd 240Hz IPS Freedos W048XTRF16",İ9 14900HX
"Thinkbook 14 G6 Irl 21KG00Y5TREP1 i5 1335U 16GB RAM 512GB SSD WUXGA 14"" Win11P + ElektroPasaj Çanta",i5 1335U
Latitude 3450 i7 1355U 40GB DDR5 256GB SSD 14'' IPS W11H Taşınabilir Bilgisayar & PER4 ÇANTA,i7 1355U
"NevoPro 14"" 300NIT Core Ultra 7 255H 16GB DDR5 480GB Freedos NP40.255H BV00X G F",Ultra 7 255H
IdeaPad Slim 3 i5 13420H 16GB DDR5 256GB SSD 15.3'' IPS WUXGA FDOS Dizüstü & PER4 ÇANTA,i5 13420H
"TUF Gaming A15 R5 7535HS 8GB 256GB SSD RTX3050/4GB 144Hz 15.6"" FHD FDOS HN049 & PER4 ÇANTA",R5 7535HS
"Thinkbook 16 G6 Irl I5 13420H 96GB 1tb SSD 16"" Wuxga 300NITS IPS WIN11HOME 21KH00SXTRH32 +ZETTACNT",I5 13420H
"Precision 3591 Ultra 7 155H 80GB 256GB SSD RTX A500/4GB 15.6"" FHD FDOS Workstation & Per4 Çanta",Ultra 7 155H
"Nitro 5 I7 12650H 24GB 256GB SSD 8GB/RTX4060 140W IPS 17.3"" 144Hz Full Hd WIN11PRO NHQLFEY004P01",I7 12650H
"ProBook 440 G11 Ultra5 125U 48 GB 256 GB SSD 14"" Freedos A23MQEA T61",Ultra5 125U
Thinkbook 16 G8 Ial Ultra 5 225U 48GB Ddr5 2tb SSD W11PRO 16 Inç IPS 21SK007VTXP32 + Zetta Çanta,Ultra 5 225U
"Alienware 16X Aurora AC16251A002 Ultra7 255HX 16GB 1TBSSD+1TBSSD RTX5060 16"" WQXGA W11H Dizüstü",Ultra7 255HX
"E16 G3 U7 255H 16GB 1 TBSSD Intel Arc Graphics 16"" Freedos +S. Çantası 21SR006RTXHMF1",U7 255H
OMEN Max 16 Ultra 7 255HX 8GB 256GB SSD RTX5080/16GB 16'' 240Hz WQXGA W11P Gaming Laptop & ÇANTA,Ultra 7 255HX
Loq 17IRX10 I7 13650HX 16GB 2tbSSD RTX5060 8gb W11HOME 17.3 Inç Fhd 165HZ W83JH006ETRH03+Zetta Çanta,I7 13650HX
Latitude 5550 Ultra 7 155U 40GB DDR5 1TB SSD 15.6'' FHD W11P Dizüstü Bilgisayar & PER4 ÇANTA,Ultra 7 155U
"Ideapad Slim 3 Intel Core I5 13420H 24GB RAM DDR5 512GB SSD Freedos 16"" inç IPS Panel Bilgisayar",Intel Core I5 13420H
"Loq 15IRX10 I7 13700HX 40GB Ddr5 1tb SSD RTX5050 8gb FDOS 15.6"" IPS W83JE00KKTRF20 + Zetta Çanta",I7 13700HX
"Alienware 16X Aurora Ultra 7 255HX 80GB 2TB SSD RTX5060/8GB 16"" QHD+ W11H Gaming Laptop",Ultra 7 255HX
"Nitro V15 ANV15 52 91EQ I9 13900H 8gb 2tbSSD RTX5060 8gb W11PRO 15,6"" NHQZAEYP04+Zetta Çanta",I9 13900H
"250 G10 B2PH7ES008 i5 1334U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar",i5 1334U
Extensa 15 EX215 55 i7 1255U 16GB RAM 2TB SSD 15.6'' FHD W11H Dizüstü Bilgisayar & PER4 ÇANTA,i7 1255U
"Rog Strix G16 I7 14650HX 32GB 2tb Ssd+2tb SSD 8GB/RTX5060 115W 16"" 2,5k 240Hz 3ms W11HOME WS5049H14",I7 14650HX
"Nitro V 15 ANV15 41 NH.QPFEY.002 R5 7535HS 16GB 512GB SSD RTX3050 15.6"" 165Hz W11H",R5
"250 G10 i5 1334U 16GB 1TB SSD 15.6"" FHD W11P Taşınabilir Bilgisayar B2NC5ES 013",i5 1334U
Latitude 3550 i7 1355U 64GB 4TB SSD MX570A/2GB 15.6'' FDOS Dizüstü Bilgisayar & PER4 ÇANTA,i7 1355U
Legion 7 16IRX9 I7 14700HX 32GB 512GB SSD W11PRO RTX4070 8gb 16Inç 3.2k 83FD005KTRP13+Zetta Çanta,I7 14700HX
"Crosshaır 18 Ultra 9 275HX 24GB 512GB SSD 8GB/RTX5070 115W 18""2.5k 240Hz Freedos W032XTRF01",Ultra 9 275HX
"Alienware 16X U7 255HX 32GB 2tb SSD 8GB/RTX5060 115W 16"" Wqxga 240Hz 500 Nits WIN11PRO ZAC16251P13",U7 255HX
"Rog Strix G16 I7 14650HX 32GB 2tb SSD 8GB/RTX5060 115W 16"" 2,5k 240Hz 3ms WIN11HOME WS5049H13",I7 14650HX
"Excalibur G880 i7 13620H 32GB 4TB RTX5060 8GB 165Hz 15.6"" Freedos Gaming Laptop G880.1362 DN60X C",i7 13620H
